Fragetext,Antwort,Sprache,Sentiment,Zahlenwert
An der LV hat mir besonders gut gefallen:,"Unterschiedliche Methodik, angenehmer Wechsel von Vortrag und Interaktion, Möglichkeit(en) zum praktischen Üben",de,neutral,-0.001180059276521206
An der LV hat mir besonders gut gefallen:,Sehr praxisbezogen und abwechslungsreich gestaltet,de,positive,0.9954022839665413
An der LV hat mir besonders gut gefallen:,Die Erfahrung einer Großgruppe,de,neutral,-0.002779945731163025
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,die Moderation der LV-Leiter,de,neutral,-0.0004006048839073628
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,"die Methoden und Theorien der Moderation, die Selbstreflexionen - hilfreich für den Lern-und Steuerungsprozess ",de,neutral,-9.942937140294816e-07
An der LV hat mir besonders gut gefallen:,Verschiedene Methoden zu lernen und immer Theorie und Praxis zu verbinden,de,positive,0.20117896795272827
An der LV hat mir besonders gut gefallen:,"-Zusammenlegung mit der LV 815.608, ermöglichte (durch die zwei DozentInnen) Theorie- und (!) Praxisinput in einer echten Großgruppe",de,neutral,-0.0015517203137278557
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,"Zusammenspiel der LV-Leitung/Moderatoren, Methode und Inhalt, Rollenwechsel, Möglichkeit etwas auszuprobieren, Durchspielen eines Workshops, Intensität und Dichte, Ausklang am letzten Tag, Entwicklung der Gruppe",de,neutral,-6.418128577934112e-06
An der LV hat mir besonders gut gefallen:,"Das viele selbstständige Arbeiten, der Austausch von Ideen und die Möglichkeit unterschiedlichsten Arten von Moderationen im Kontext von Groß- und Kleingruppen kennen zu lernen. ",de,neutral,-9.00608029041905e-07
An der LV hat mir besonders gut gefallen:,Authentizität und Professionalität der Vortragenden,de,neutral,-4.717437332146801e-05
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Die Arbeitszeiten waren etwas knapp berechnet.,de,neutral,-0.00022086456010583788
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,richtet sich eher an die Studierenden: Erwartungshaltungen vorab definieren und klären! ,de,negative,-0.921091690659523
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,/,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,-evtl. längere Mittagspause,sv,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Alles war sehr dicht gedrängt, die Aufmerksamkeit lässt bei drei vollen Tagen hintereinander stark nach.",de,neutral,-0.0002800433139782399
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Mehr Pausen,de,negative,-0.6880719065666199
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Mehr weniger lange Tage,de,positive,0.24674451351165771
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,-,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"eventuell mehr Pausen, um neue Ideenvorschläge zu finden und Kopf frei bekommen, vielleicht noch näher auf einzelne Personen eingehen ",de,positive,0.9579618275165558
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,längere Pausen und Arbeitszeiten,de,negative,-0.908906327560544
"Die Lehrperson hat den Studierenden die Gelegenheit geboten, auch während des Semesters Feedback zur Lehrveranstaltung zu geben. (Informell oder auch durch Anwendung bestimmter Methoden wie z.B. des „Blitzlichtes“ oder der „+/-/? Methode“)",sehr häufig möglich,de,positive,0.9853881257586181
Mein persönlicher Lernfortschritt in dieser LV war:,konnte sehr viel ausprobieren und in verschiedenen Rollen arbeiten,de,positive,0.9965295600704849
Gesamt gesehen halte ich diese LV für:,,unknown,not analyzed,
,,unknown,not analyzed,
Zu diesem Fragebogen/dieser Erhebung gebe ich folgendes Feedback:,passt,lv,not analyzed,
Zu diesem Fragebogen/dieser Erhebung gebe ich folgendes Feedback:,Alles gut,fr,not analyzed,
An der LV hat mir besonders gut gefallen:,persönliche Begrüßung,de,positive,0.9624310713261366
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,Mini-Feldforschung,de,neutral,-0.0013959452626295388
An der LV hat mir besonders gut gefallen:,"Herr Mag. Dr. Neugebauer, der sehr nett und über alle Maßen bemüht war, den Wünschen der Studierenden gerecht zu werden. Außergewöhnlich positiv empfand ich auch, dass er jedem Studierenden persönlich mit Handschlag begrüßt hat. ",de,positive,0.9865874955430627
An der LV hat mir besonders gut gefallen:,Inhalte gut aufbereitet und ausgedruckt mitgebracht. Eventuell war das Niveau für einige zu hoch (Hofschuld?). Herr Dr. Neugebauer hat einen sehr respektvollen und wertschätzenden Umgang mit allen gepflegt. Er ging sehr gut auf Wünsche der Teilnehmenden ein. Das Seminar würde ich wieder besuchen!,de,positive,0.9988018781878054
An der LV hat mir besonders gut gefallen:,Der Professor war sehr locker,de,positive,0.20167338848114014
An der LV hat mir besonders gut gefallen:,Die unterschiedlichen Werkzeuge des Projektmanagements.,de,neutral,-1.7021066014422104e-05
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,Theoretische Grundlagen aus wissenschaftlicher Sicht,de,neutral,-2.413051697658375e-05
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,Gute Mischung aus Vortrag und Kleingruppenarbeiten,de,neutral,-0.003112880513072014
An der LV hat mir besonders gut gefallen:,"Umgang mit den Teilnehmern, kein Powerpoint",de,negative,-0.9859545100480318
An der LV hat mir besonders gut gefallen:,"Wertschätzung des LV-Leiters den Studierenden gegenüber. Hat sich sehr bemüht auf die Wünsche der Studierenden einzugehen (Präsentationsmaterialien, Planung des Kursablaufs etc.)",de,neutral,-0.04701966047286987
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Am Ende des letzten Tag war nur mehr die Hälfte der Teilnehmer anwesend, eine große Unhöflichkeit gegenüber dem LV-Leiter und auch allen Teilnehmern und den präsentierenden Gruppen",de,neutral,-4.912213171337498e-06
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,keine Blockveranstaltung mehr,de,negative,-0.9790666699409485
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Ich denke, es ist schwierig einer Gruppe ""gerecht"" zu werden, in der ""Profis"" mit viel Vorwissen, aber auch ""Anfänger"" mit wenig bis keinem Vorwissen zur Thematik, sitzen. Der Seminarleiter hat sich Mühe gegeben, dem gerecht zu werden, ist jedoch auch immer wieder in Diskussionen mit den ""Profis"" gerutscht und dadurch sind AnfängerInnen regelmäßig ausgestiegen und konnten nicht mehr folgen. Dann wurde fachgesimpelt und ja, dann war es sehr schwierig, überhaupt noch folgen zu können. Manche Diskussionen, sind demnach, für meinen Geschmack und für den Rahmen dieser Veranstaltung, schon viel zu tief in die Thematik eingetaucht.",de,negative,-0.9893623278476298
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Habe mir mehr Gruppendynamikprozesse in Form von Rollenspielen erwartet. Würde empfehlen, mehr von diesen und deren Aufarbeitung aufzubauen, z.B. hinsichtlich der Rollen in einem Projektgeschehen oder die Planung und Veranstaltung einer Kick-off Veranstaltung. An der Aufarbeitung hätte man die relevanten Themen festmachen und vor allem erfahren können.",de,positive,0.7687535434961319
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Leider konnte ich aus der LV nicht so viel mitnehmen wie ich erhofft hatte. Für mich waren es zu viele theoretische Inhalte, wenig Praxisbezug. Das Fallbeispiel, das wir zu einem Projektmanagement-Tool ausarbeiten mussten, fand ich sehr interessant. Es wäre schön gewesen, mehrere Projektmanagement-Werkzeuge anhand von Fallbeispielen zu erlernen und gleich anzuwenden. Dann wäre der Lerneffekt für mich viel größer gewesen.",de,negative,-0.9210358820855618
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,zeitliche Struktur klarer vorgeben,de,neutral,-0.002676209434866905
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,beim nächsten Mal das mit den Anwesenheiten besser klären,de,neutral,-0.008189405780285597
,,unknown,not analyzed,
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Studierenden mit Fehlzeiten sollten entweder ausgeschlossen werden oder Zusatzaufgaben zur Abschlussarbeit erhalten. ,de,neutral,-3.864808604703285e-06
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Leider konnte ich von der LV nicht sonderlich viel mitnehmen. Die Inhalte wurden sehr schnell vorgetragen, so dass ich keine Zeit hatte mitzudenken. Es wurde sehr viel Inhalt, durchaus interessanter Inhalt vermittelt, leider aber auf die falsche Weise. Für Leute, die bereits im Bereich Projektmanagement tätig sind, wäre diese LV vermutlich angemessen gewesen, für Studierende, die bisher noch keine Erfahrungen im Bereich Projektmanagement gemacht haben, eher weniger.",de,negative,-0.9744152082130313
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Keine. Raum war am ersten Tag leider immer zu klein.(S.03),de,positive,0.8653664141893387
"Die Lehrperson hat den Studierenden die Gelegenheit geboten, auch während des Semesters Feedback zur Lehrveranstaltung zu geben. (Informell oder auch durch Anwendung bestimmter Methoden wie z.B. des „Blitzlichtes“ oder der „+/-/? Methode“)",Feedback wurde auch sofort umgesetzt,de,positive,0.998702765093185
Zu diesem Fragebogen/dieser Erhebung gebe ich folgendes Feedback:,"gut, weil es jetzt eine Einleitung gibt und die Möglichkeit, nicht teilzunehmen, wenn man zu wenig anwesend war",de,positive,0.9375061392784119
Zu diesem Fragebogen/dieser Erhebung gebe ich folgendes Feedback:,"Dem LV-Leiter wurde bereits während der LV bewusst, dass seine Vorgehensweise, was die Vermittlung der Inhalte betrifft, nicht die Richtige ist. Leider konnte er in der kurzen Zeit keine andere Strategie anwenden, die den Lernerfolg meinerseits oder bei einigen anderen steigern konnte. Ich muss gestehen, ich bin leider etwas planlos aus der LV gegangen. Diese Tatsache ändert aber nichts daran, dass der LV-Leiter mit Sicherheit über ein umfangreiches Wissen verfügt und dieses möglicherweise Fortgeschrittenen besser zu vermitteln in der Lage ist. Der LV-Leiter selbst hat am Ende gesagt, er würde die Lehrveranstaltung das nächste Mal anders aufbauen und gestalten. Sehr positiv werte ich seine wertschätzende Art und Weise mit den Studierenden umzugehen und seine Kritikfähigkeit. Hut ab!",de,neutral,-0.00434381770901382
Zu diesem Fragebogen/dieser Erhebung gebe ich folgendes Feedback:,ok,sk,not analyzed,
An der LV hat mir besonders gut gefallen:,die Nähe zur Praxis,de,neutral,-0.05618331767618656
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,Die Kleingruppenarbeit.,de,neutral,-0.001391426078043878
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,der freie Vortrag,de,neutral,-0.0055692000314593315
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,einbringen eigener Fälle,de,neutral,-0.027319155633449554
An der LV hat mir besonders gut gefallen:,"Hervorragende Dozentin, guter Methodenmix, spannend und lehrreich",de,positive,0.9956849236041307
An der LV hat mir besonders gut gefallen:,"praktische Anwendung theoretischer Inputs, Gruppenlernerfahrung, Zeitmanagement",de,neutral,-0.0002595765399746597
An der LV hat mir besonders gut gefallen:,Durchweg herrvoragende Verknüpfung von theoretischen Inhalten/ Modellen und praktischen Bezügen sowie aktiven Handlungserprobungen.,de,neutral,0.4558884872822091
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,alles!,fr,not analyzed,
An der LV hat mir besonders gut gefallen:,Arbeiten in Kleingruppen,de,neutral,-0.037822360172867775
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,sehr viel praktische Anwendung,de,positive,0.9951862879097462
An der LV hat mir besonders gut gefallen:,"Der hohe Praxisanteil und die damit hohe ""Selbsterfahrung""",de,neutral,-0.0015013410011306405
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Zeitmenagemant,de,positive,0.8689517006278038
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Die Theorie, entwickelt aus dem Handel und Stammenskontakt in heutzutage türkischem Gebiet, ist sehr oberflächlich und lückenhaft im Bezug zu anderen Volksgeschichten in Afrika, Amerika, Asien, usw. Fand ich sehr ärgerlich und anmaßend. Daher war die ganze Theorie der Konfliktebenen nicht richtig mMn. (Flucht, Krieg: Ausrottung, Krieg: Unterordnung, Kompromiss, Konsens)",de,negative,-0.9984597380971536
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,die LV sollte über ein ganzes Semester durch gehen ,de,neutral,-4.7969126171665266e-05
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Da die Inhalte so spannend sind, wäre es toll, wenn der Block länger gehen würde bzw., wenn es einen aufbauenden Kurs gäbe, der die Inhalte vertieft",de,positive,0.44664448499679565
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Die Lehrveranstaltung könnte länger dauern, aufgrund der vielen praktischen Übungsmöglichkeiten ist man gezwungen, sich strikt an das Programm zu halten.",de,negative,-0.9516715798527002
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,keine. ,de,negative,-0.9940257756970823
Zu diesem Fragebogen/dieser Erhebung gebe ich folgendes Feedback:,Tolle LV würde ich immer weiterempfehlen,de,positive,0.9878769475035369
Zu diesem Fragebogen/dieser Erhebung gebe ich folgendes Feedback:,Danke.,da,not analyzed,
An der LV hat mir besonders gut gefallen:,"LV-Leiter hat oft gefragt ob das Tempo passt, jeder alles verstanden hat und wenn nicht, dann wurde es wiederholt.",de,positive,0.9933548499830067
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,Die einzelnen Themen wurden gut erklärt,de,neutral,0.062187621369957924
An der LV hat mir besonders gut gefallen:,- einfach erklärt,de,negative,-0.9386597871780396
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,Folien und Erklärungen waren gut. ,de,positive,0.9623722452670336
An der LV hat mir besonders gut gefallen:,Auf die Beispiele am Ende wurde genau eingegangen.,de,positive,0.6653704084455967
An der LV hat mir besonders gut gefallen:,Der INhalt der VO war gut strukturiert ,de,neutral,-0.002580289263278246
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,-,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Weniger Termine ausfallen lassen bzw. verschieben!,de,negative,-0.9903243849985301
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Die Veranlagungsbeispiele - sollten vielleicht mehr als 1 gerechnet werden, da in einem nicht alle Dinge vorhanden sind.",de,neutral,-0.004133161390200257
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Ein paar Beispiel Rechungen in der Vorlesung wären hilfreich gewesen,de,positive,0.9496159087866545
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Vortragsweise nicht ideal-etwas unsicher. Sehr viele Ausfälle und Terminverschiebungen.,de,negative,-0.9679769203066826
Zu diesem Fragebogen/dieser Erhebung gebe ich folgendes Feedback:,"Es war nicht sehr gut, dass bei der Klausur keine Aufsichtsperson mit fachlichen Kenntnissen anwesend war.",de,neutral,-0.004350617527961731
An der LV hat mir besonders gut gefallen:,"- little group, very personal atmosphere",en,positive,0.9919246276840568
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"That duration of lectures was shorter, because as the matter is very hard and demanding, its hard to be concetrated for 5 hours in a row per day. ",en,negative,-0.9888442177325487
Zu diesem Fragebogen/dieser Erhebung gebe ich folgendes Feedback:,ok,sk,not analyzed,
An der LV hat mir besonders gut gefallen:,"toller Vortrag, sehr praxisorientiert und leicht verständlich erklärt",de,positive,0.9988955498556606
An der LV hat mir besonders gut gefallen:,Sehr gut strukturierter Aufbau! Sehr kompetente Vortragende!,de,positive,0.9801610829308629
An der LV hat mir besonders gut gefallen:,Die Vortagende hat sich sehr bemüht und den Stoff sehr gut erklärt und vorgetragen!,de,positive,0.9940444729290903
An der LV hat mir besonders gut gefallen:,Der sehr große Wissensstand der LV Leiterin und ihrer Fähigkeit dies auch zu vermitteln. ,de,neutral,-3.809609916061163e-05
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Zeitweilen war die Sprechgeschwindigkeit etwas zu hoch.,de,neutral,-2.300173491676105e-06
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Schade das so wenig Teilnehmer die LV Besuchen! ,de,negative,-0.9341616071760654
An der LV hat mir besonders gut gefallen:,sehr positiv eingestellte LV-Leiterin,de,positive,0.9837161330506206
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,Gute und verständliche Erklärungen! LV-Leiterin ist auf alles Fragen der Studierenden eingegangen und hat versucht diese auch verständlich zu beantworten!,de,positive,0.9989226530306041
